Weight,Length1,Length2,Length3,Height,Width,Species_ID,Species
70,15.7,17.4,18.5,4.588,2.9415,5,Perch
100,16.2,18,19.2,5.2224,3.3216,5,Perch
78,16.8,18.7,19.4,5.1992,3.1234,5,Perch
80,17.2,19,20.2,5.6358,3.0502,5,Perch
85,17.8,19.6,20.8,5.1376,3.0368,5,Perch
85,18.2,20,21,5.082,2.772,5,Perch
110,19,21,22.5,5.6925,3.555,5,Perch
115,19,21,22.5,5.9175,3.3075,5,Perch
125,19,21,22.5,5.6925,3.6675,5,Perch
130,19.3,21.3,22.8,6.384,3.534,5,Perch
120,20,22,23.5,6.11,3.4075,5,Perch
120,20,22,23.5,5.64,3.525,5,Perch
130,20,22,23.5,6.11,3.525,5,Perch
135,20,22,23.5,5.875,3.525,5,Perch
110,20,22,23.5,5.5225,3.995,5,Perch
130,20.5,22.5,24,5.856,3.624,5,Perch
150,20.5,22.5,24,6.792,3.624,5,Perch
145,20.7,22.7,24.2,5.9532,3.63,5,Perch
150,21,23,24.5,5.2185,3.626,5,Perch
170,21.5,23.5,25,6.275,3.725,5,Perch
225,22,24,25.5,7.293,3.723,5,Perch
145,22,24,25.5,6.375,3.825,5,Perch
188,22.6,24.6,26.2,6.7334,4.1658,5,Perch
180,23,25,26.5,6.4395,3.6835,5,Perch
197,23.5,25.6,27,6.561,4.239,5,Perch
218,25,26.5,28,7.168,4.144,5,Perch
300,25.2,27.3,28.7,8.323,5.1373,5,Perch
260,25.4,27.5,28.9,7.1672,4.335,5,Perch
265,25.4,27.5,28.9,7.0516,4.335,5,Perch
250,25.4,27.5,28.9,7.2828,4.5662,5,Perch
250,25.9,28,29.4,7.8204,4.2042,5,Perch
300,26.9,28.7,30.1,7.5852,4.6354,5,Perch
320,27.8,30,31.6,7.6156,4.7716,5,Perch
514,30.5,32.8,34,10.03,6.018,5,Perch
556,32,34.5,36.5,10.2565,6.3875,5,Perch
840,32.5,35,37.3,11.4884,7.7957,5,Perch
685,34,36.5,39,10.881,6.864,5,Perch
700,34,36,38.3,10.6091,6.7408,5,Perch
700,34.5,37,39.4,10.835,6.2646,5,Perch
690,34.6,37,39.3,10.5717,6.3666,5,Perch
900,36.5,39,41.4,11.1366,7.4934,5,Perch
650,36.5,39,41.4,11.1366,6.003,5,Perch
820,36.6,39,41.3,12.4313,7.3514,5,Perch
850,36.9,40,42.3,11.9286,7.1064,5,Perch
900,37,40,42.5,11.73,7.225,5,Perch
1015,37,40,42.4,12.3808,7.4624,5,Perch
820,37.1,40,42.5,11.135,6.63,5,Perch
1100,39,42,44.6,12.8002,6.8684,5,Perch
1000,39.8,43,45.2,11.9328,7.2772,5,Perch
1100,40.1,43,45.5,12.5125,7.4165,5,Perch
1000,40.2,43.5,46,12.604,8.142,5,Perch
1000,41.1,44,46.6,12.4888,7.5958,5,Perch
200,30,32.3,34.8,5.568,3.3756,7,Pike
300,31.7,34,37.8,5.7078,4.158,7,Pike
300,32.7,35,38.8,5.9364,4.3844,7,Pike
300,34.8,37.3,39.8,6.2884,4.0198,7,Pike
430,35.5,38,40.5,7.29,4.5765,7,Pike
345,36,38.5,41,6.396,3.977,7,Pike
456,40,42.5,45.5,7.28,4.3225,7,Pike
510,40,42.5,45.5,6.825,4.459,7,Pike
540,40.1,43,45.8,7.786,5.1296,7,Pike
500,42,45,48,6.96,4.896,7,Pike
567,43.2,46,48.7,7.792,4.87,7,Pike
770,44.8,48,51.2,7.68,5.376,7,Pike
950,48.3,51.7,55.1,8.9262,6.1712,7,Pike
1250,52,56,59.7,10.6863,6.9849,7,Pike
1600,56,60,64,9.6,6.144,7,Pike
1550,56,60,64,9.6,6.144,7,Pike
1650,59,63.4,68,10.812,7.48,7,Pike
6.7,9.3,9.8,10.8,1.7388,1.0476,6,Smelt
7.5,10,10.5,11.6,1.972,1.16,6,Smelt
7,10.1,10.6,11.6,1.7284,1.1484,6,Smelt
9.7,10.4,11,12,2.196,1.38,6,Smelt
9.8,10.7,11.2,12.4,2.0832,1.2772,6,Smelt
8.7,10.8,11.3,12.6,1.9782,1.2852,6,Smelt
10,11.3,11.8,13.1,2.2139,1.2838,6,Smelt
9.9,11.3,11.8,13.1,2.2139,1.1659,6,Smelt
9.8,11.4,12,13.2,2.2044,1.1484,6,Smelt
12.2,11.5,12.2,13.4,2.0904,1.3936,6,Smelt
13.4,11.7,12.4,13.5,2.43,1.269,6,Smelt
12.2,12.1,13,13.8,2.277,1.2558,6,Smelt
19.7,13.2,14.3,15.2,2.8728,2.0672,6,Smelt
19.9,13.8,15,16.2,2.9322,1.8792,6,Smelt
11,11.1,12.3,15.3,2.4658,2.1295,6,Smelt
20,12.2,10.9,15,2.2961,2.8271,6,Smelt
7,11.7,13.9,12.7,1.7064,2.016,6,Smelt
12,9.9,15,15.4,2.394,2.6746,6,Smelt
15,12,13.7,15,1.2649,2.5609,6,Smelt
9,9.4,13.7,10.1,2.7221,2.7006,6,Smelt
10,10.1,14.5,11.6,2.8487,2.253,6,Smelt
14,14,10.9,11.4,1.4599,2.5505,6,Smelt
14,13.9,12.8,11.4,1.7704,2.0038,6,Smelt
18,9.3,9.7,12.9,1.0466,2.8673,6,Smelt
18,11.9,11.7,14.8,2.258,2.7937,6,Smelt
7,13.3,10.5,15.1,1.7767,2.2419,6,Smelt
15,9.8,10,10.8,1.4089,2.6813,6,Smelt
18,10.5,14.8,10.8,1.3643,2.1955,6,Smelt
12,13.8,9.9,11.3,1.1952,2.4652,6,Smelt
18,9.2,9.7,13.5,2.9203,2.05,6,Smelt
12,9.5,11.9,14.9,2.5143,2.3102,6,Smelt
20,10.8,11.3,15.8,1.5934,2.2455,6,Smelt
8,13.9,12.3,15.2,2.8496,2.7742,6,Smelt
16,11.1,10.7,11.8,1.1829,2.8709,6,Smelt
10,12.5,13.5,12,2.9279,2.5572,6,Smelt
14,13.6,14.4,15.2,1.6313,2.0047,6,Smelt
19,12.9,12.5,14.6,2.7577,2.5643,6,Smelt
13,9.2,12.4,10.9,1.3081,2.5074,6,Smelt
8,9.6,13.7,11.2,2.4397,2.3716,6,Smelt
12,12.4,11.2,13.2,2.9272,2.8661,6,Smelt
7,10,12.9,11.5,1.294,2.0164,6,Smelt
6,13.8,15,12.3,1.5038,2.5004,6,Smelt
10,13.7,11,10.5,2.2304,2.6024,6,Smelt
15,10.5,14.7,13,2.5911,2.8188,6,Smelt
18,12,10,14.4,1.7501,2.6224,6,Smelt
6,9.9,14,10.4,2.6232,2.3948,6,Smelt
9,13.2,13.2,12.1,2.0804,2.6837,6,Smelt
10,9.3,13.1,11.1,2.6618,2.4412,6,Smelt
13,13,11.4,15.7,1.4752,2.8106,6,Smelt
15,9,14.3,13.5,2.3428,2.3349,6,Smelt
17,10.3,12.8,10.5,2.1919,2.3629,6,Smelt
16,13.6,14.6,13.4,1.3517,2.5765,6,Smelt
13,10.7,12.8,12.4,1.957,2.1797,6,Smelt
19,13.1,9.9,12.7,2.0394,2.4662,6,Smelt
14,12.8,12.5,11.9,2.4846,2.2935,6,Smelt
7,10.8,12.1,12.5,1.5167,2.678,6,Smelt
7,11.7,11.6,13.7,2.8045,2.5803,6,Smelt
16,11.4,13.6,10.5,1.2135,2.9547,6,Smelt
7,12.3,9.8,15.4,1.9969,2.7828,6,Smelt
7,11.6,14.3,13.7,1.9166,2.4757,6,Smelt
12,12.1,12.8,13.8,1.4441,2.0824,6,Smelt
15,13.2,10.9,12.8,2.0482,2.6497,6,Smelt
6,11,13.8,12.4,1.5883,2.8031,6,Smelt
20,13.8,9,12.6,1.3076,2.5771,6,Smelt
16,9.4,13.8,13.3,1.7461,2.2315,6,Smelt
14,13.7,10.1,10.9,1.8243,2.6273,6,Smelt
13,9.4,14.9,15.7,1.243,2.8043,6,Smelt
10,10.3,10.3,13.5,2.3502,2.8375,6,Smelt
16,12.2,14.7,15.1,2.517,2.9214,6,Smelt
19,12,10.3,15.4,1.8222,2.9895,6,Smelt
16,12.8,10.6,10.8,1.7803,2.6122,6,Smelt
7,11.2,9.4,10.4,1.9027,2.416,6,Smelt
20,12.7,13.6,13.8,1.2619,2.7216,6,Smelt
11,13.5,9.2,12.5,2.561,2.4287,6,Smelt
18,12.2,9.1,12.1,1.2904,2.5423,6,Smelt
13,13.1,9.6,11.8,1.7759,2.7096,6,Smelt
20,13.3,15,15.4,2.9479,2.8394,6,Smelt
6,10,9.8,14.7,2.8103,2.3525,6,Smelt
9,9.1,11.1,13.6,2.9489,2.1958,6,Smelt
17,11.2,13.3,14.3,1.8834,2.5622,6,Smelt
13,11.9,13.6,11,1.974,2.337,6,Smelt
13,11,13.1,14.6,2.9139,2.177,6,Smelt
6,9.5,10.8,11.1,2.5348,2.4951,6,Smelt
18,12.6,14.7,10.5,2.9885,2.1968,6,Smelt
6,9.1,14.1,13,1.6781,2.398,6,Smelt
13,11.8,10.5,11.3,2.3223,2.1416,6,Smelt
8,11.5,12.5,10.2,2.4259,2.2961,6,Smelt
20,9.6,13.4,11.8,2.6749,2.0262,6,Smelt
12,11.6,15,14.8,1.3532,2.5331,6,Smelt
19,13,12.1,12,1.6308,2.7276,6,Smelt
20,13.1,11.6,11.1,1.0479,2.8946,6,Smelt
19,12.4,10.4,14.7,2.1679,2.5572,6,Smelt
10,13.1,13.2,13.5,1.9144,2.1533,6,Smelt
19,13.7,9.8,10.3,1.9532,2.424,6,Smelt
14,10.9,15,13.2,2.903,2.6309,6,Smelt
16,10.4,11,14.8,1.057,2.1402,6,Smelt
14,13.4,13.1,10.6,1.6281,2.8177,6,Smelt
8,13.4,12.3,12.6,2.746,2.7185,6,Smelt
18,9.3,13.8,10.2,2.9282,2.4389,6,Smelt
13,10.6,9.2,14.1,1.7625,2.2845,6,Smelt
11,10.4,14.2,11,2.3498,2.2637,6,Smelt
10,11.3,13.9,13.8,2.4734,2.4645,6,Smelt
15,13.7,12.2,12.2,1.8122,2.6469,6,Smelt
6,13.5,10.8,10.6,2.5604,2.0243,6,Smelt
8,11.3,10.2,14.3,1.0024,2.8955,6,Smelt
20,9.6,12.8,16,1.421,2.7987,6,Smelt
19,12.8,12,14.6,2.3212,2.0572,6,Smelt
6,12.3,12.5,11.4,1.8227,2.1869,6,Smelt
18,9.6,9.6,12.7,2.0219,2.543,6,Smelt
8,10.9,11.1,16,1.822,2.0557,6,Smelt
13,10.7,11.8,13.4,2.7866,2.2409,6,Smelt
18,14,14.1,10.8,1.0296,2.8975,6,Smelt
17,12,14.3,11.1,2.8066,2.5496,6,Smelt
10,11.1,10.8,13.4,2.2978,2.1785,6,Smelt
15,12,12.4,10.7,2.1225,2.7652,6,Smelt
6,12.4,11,15.6,1.156,2.3961,6,Smelt
17,10.7,14.4,13.5,2.1935,2.1163,6,Smelt
6,13,12.8,15.1,1.3851,2.9044,6,Smelt
13,10.4,11.7,14.5,2.7681,2.3687,6,Smelt
15,9.1,9.8,14,2.2881,2.4851,6,Smelt
8,11,12.1,10.3,1.1119,2.4198,6,Smelt
14,10.6,13,13.3,1.0364,2.4922,6,Smelt
17,11,14.6,15.8,1.3719,2.5157,6,Smelt
19,10,14.5,13.5,2.273,2.544,6,Smelt
15,12.4,10.3,12.5,2.4863,2.5922,6,Smelt
13,13.8,13.2,15.6,1.5416,2.3768,6,Smelt
7,11,9.9,15.9,2.0651,2.9867,6,Smelt
14,12.2,9,10.4,2.4407,2.143,6,Smelt
13,10.9,12.5,11.4,1.8689,2.3363,6,Smelt
9,12.4,9.5,12.8,2.1018,2.4158,6,Smelt
16,12.4,9.6,14.8,1.0161,2.1745,6,Smelt
13,10.7,11.7,13.9,2.0453,2.2866,6,Smelt
11,13.2,14.9,14.8,2.9314,2.4665,6,Smelt
20,9.5,13.7,15.2,2.0999,2.7571,6,Smelt
10,9.1,9.3,15.9,1.3278,2.6418,6,Smelt
7,13.8,14.5,13.1,1.4484,2.203,6,Smelt
7,12.1,9.7,11.2,1.1905,2.4547,6,Smelt
9,10.1,14.3,15.9,2.3258,2.1752,6,Smelt
11,10.4,11.5,13.8,1.8919,2.3273,6,Smelt
7,10.7,13.5,11,2.4812,2.2503,6,Smelt
12,9.2,15,10.1,2.3979,2.2168,6,Smelt
16,9.1,13.5,12.2,1.9725,2.9048,6,Smelt
7,9.7,12.5,13.2,2.0411,2.0946,6,Smelt
14,11.4,12.2,10.8,2.1297,2.8864,6,Smelt
13,13.7,9.6,13.1,2.902,2.732,6,Smelt
16,9.5,13.1,13.1,2.7872,2.6943,6,Smelt
14,12.5,13.8,10.7,1.2595,2.2118,6,Smelt
13,9.5,10.7,15,2.9024,2.4641,6,Smelt
6,13.9,10.7,15,2.2508,2.0765,6,Smelt
20,12.9,12.3,11.1,1.7959,2.2035,6,Smelt
16,13.7,10.5,12.5,2.2503,2.5839,6,Smelt
7,9.4,10.6,10.5,1.2435,2.4129,6,Smelt
19,10.7,9.7,11.9,1.4299,2.5807,6,Smelt
7,11.5,14.8,12,2.0914,2.6344,6,Smelt
17,13.5,9.6,14.1,1.2062,2.917,6,Smelt
8,9.5,10,13.6,1.0736,2.2006,6,Smelt
17,13,13.8,12.7,1.6537,2.8458,6,Smelt
9,11.4,14.4,12.4,2.9047,2.5882,6,Smelt
18,10.6,11.7,13.6,1.0918,2.5891,6,Smelt
14,11.3,12.2,13.1,2.3684,2.0536,6,Smelt
15,10.1,13.7,15.1,2.9135,2.4875,6,Smelt
15,9.2,12,10.5,1.0891,2.4485,6,Smelt
11,10.4,10.1,12.7,2.6998,2.0474,6,Smelt
12,11,12.4,12.7,2.7826,2.7016,6,Smelt
7,9.2,13.2,15.9,1.4818,2.8917,6,Smelt
15,10.1,14.1,12.2,2.7843,2.673,6,Smelt
20,9.4,14.2,11.3,1.7799,2.1249,6,Smelt
15,12,11.9,13.5,2.4677,2.1678,6,Smelt
17,12.1,12.2,13.9,2.1543,2.0265,6,Smelt
11,13.8,12.9,14.4,2.764,2.3648,6,Smelt
8,11.4,10.9,10.6,2.2708,2.7311,6,Smelt
7,10.1,13,11.9,1.4093,2.9107,6,Smelt
16,12.1,11.5,11.6,2.2025,2.1287,6,Smelt
20,12,9.5,10.7,1.1282,2.4267,6,Smelt
10,12.7,12.4,14.3,2.0937,2.5238,6,Smelt
12,9.6,9.8,12.2,1.8748,2.1067,6,Smelt
10,11.5,10.8,13.7,2.8986,2.2158,6,Smelt
17,11.7,14.8,13.7,1.6524,2.4244,6,Smelt
6,9.4,10.1,12.4,2.9563,2.2108,6,Smelt
20,11.5,12.9,14.4,1.7775,2.1199,6,Smelt
9,13.4,12.6,15.2,1.6693,2.3356,6,Smelt
20,11.7,9.9,13.6,2.3993,2.3253,6,Smelt
14,11.4,11.3,10.2,2.1777,2.7566,6,Smelt
19,11.9,12.7,14.9,1.7172,2.0971,6,Smelt
12,11,13.5,13.6,1.5721,2.9122,6,Smelt
19,13.5,10.2,14.5,2.6949,2.4225,6,Smelt
17,12.2,9.7,10.6,2.7688,2.9051,6,Smelt
8,12.8,10.7,10.7,1.7811,2.4678,6,Smelt
19,11.1,10.4,13.8,1.2491,2.1683,6,Smelt
15,11.6,14,10.8,2.1981,2.3996,6,Smelt
16,10.4,13.5,15.8,1.9372,2.7896,6,Smelt
13,13.5,12.6,10.7,2.1356,2.7113,6,Smelt
8,12.8,13.9,10.8,2.1896,2.6979,6,Smelt
19,10.2,10.7,10.1,2.7015,2.9521,6,Smelt
9,12.5,12.2,15.4,1.6076,2.3674,6,Smelt
20,9.2,9.1,10.6,2.3288,2.6694,6,Smelt
7,12.1,13,14.4,1.5428,2.4169,6,Smelt
19,9.6,14.9,10.1,2.6725,2.7455,6,Smelt
15,13.3,13.5,15.4,1.4776,2.2441,6,Smelt
12,13.3,11.5,13,1.9122,2.5794,6,Smelt
13,13.6,13,11,1.4868,2.1051,6,Smelt
15,10.6,10.6,12.6,1.8659,2.9363,6,Smelt
19,10.5,11.8,10.8,1.4558,2.5942,6,Smelt
10,9.5,13.6,15.4,2.8564,2.174,6,Smelt
16,12.5,14,12.8,2.6272,2.9582,6,Smelt
9,9.7,11.3,13.9,2.0193,2.8779,6,Smelt
10,9.8,9.1,12.5,2.019,2.3038,6,Smelt
15,13.2,12.1,10.3,1.2276,2.1021,6,Smelt
9,13.4,13.3,10.7,2.6682,2.5506,6,Smelt
16,10.3,12.4,13.2,1.5419,2.8056,6,Smelt
9,10.5,10.8,10.2,1.0247,2.6405,6,Smelt
20,13,12.3,15.2,1.4785,2.0976,6,Smelt
20,13.8,12,11.7,1.2548,2.9009,6,Smelt
7,13.1,10.4,15.4,1.1896,2.3143,6,Smelt
18,9.5,9.8,10.8,2.6811,2.6362,6,Smelt
14,13.5,11.9,12.2,2.6153,2.5666,6,Smelt
9,10.3,10.2,11.6,2.729,2.5725,6,Smelt
8,11.8,9.9,10.1,1.182,2.4442,6,Smelt
15,13.9,10.2,11.5,1.798,2.259,6,Smelt
12,11.1,11.6,12.4,1.2317,2.1569,6,Smelt
18,9.3,10.4,10.6,1.9574,2.1819,6,Smelt
9,12.5,12.5,13.3,1.3546,2.1553,6,Smelt
6,12,14,11.3,1.8639,2.7556,6,Smelt
13,9.5,9.5,11.4,1.941,2.5212,6,Smelt
7,13,9.4,10.2,2.9747,2.1776,6,Smelt
11,13.1,12.8,12.9,1.2107,2.0076,6,Smelt
8,9.5,12.6,11.3,2.9018,2.2066,6,Smelt
6,10.7,13,11.3,2.0556,2.4641,6,Smelt
6,11.2,12.8,13.2,1.3641,2.9879,6,Smelt
10,9.6,14,10,1.9855,2.5666,6,Smelt
11,9.2,10.1,10.4,1.7765,2.4576,6,Smelt
15,11.7,13.2,11.2,1.5321,2.8323,6,Smelt
14,9.5,9.3,15.7,2.3564,2.9136,6,Smelt
19,11,9.9,15.7,1.4115,2.0538,6,Smelt
12,9,14.7,14,1.686,2.3376,6,Smelt
18,13.8,10.1,12.1,2.9571,2.7037,6,Smelt
7,9.9,10.9,14.6,2.9233,2.6303,6,Smelt
14,9.8,14.8,15.1,1.7747,2.8254,6,Smelt
18,11.7,12.5,11.7,2.1721,2.0963,6,Smelt
20,12.2,9.9,15.6,2.2375,2.6021,6,Smelt
17,11.8,13.4,12.6,2.1688,2.8474,6,Smelt
11,12.3,11,12.6,2.1563,2.9585,6,Smelt
11,13.8,10.1,12.4,1.491,2.4855,6,Smelt
20,12.1,14.2,11.9,1.8791,2.7198,6,Smelt
16,9.7,9.8,13.9,2.4573,2.4542,6,Smelt
20,13.3,10.7,14.4,1.867,2.1521,6,Smelt
16,9.8,13.6,15.2,2.2691,2.7622,6,Smelt
18,11.9,12.7,11.4,2.8599,2.7568,6,Smelt
17,10.3,12.9,12.8,2.0241,2.1707,6,Smelt
13,13.3,10,15.5,1.5921,2.755,6,Smelt
11,9,13,10.4,1.7914,2.8618,6,Smelt
11,12.7,14.8,10.7,2.1657,2.7371,6,Smelt
17,10.6,13.9,10.4,1.2651,2.5838,6,Smelt
11,13.2,12.8,11.2,1.7333,2.6302,6,Smelt
16,9,10.1,13.3,1.3271,2.2936,6,Smelt
15,10,13.5,11.1,2.0904,2.7229,6,Smelt
15,10.1,14.8,11.1,1.0685,2.0748,6,Smelt
12,11.3,11.6,10.6,2.332,2.9725,6,Smelt
19,9.7,12.7,12.3,1.9403,2.5208,6,Smelt
17,10,13.8,12.6,2.1212,2.1532,6,Smelt
18,11,11.6,15,2.1515,2.7197,6,Smelt
14,11.4,11.5,13.5,2.8741,2.3746,6,Smelt
9,10.5,11.1,10.2,2.7908,2.8108,6,Smelt
6,10.7,14.8,10.7,2.8467,2.7178,6,Smelt
11,12.1,13.2,13.4,2.8507,2.6368,6,Smelt
12,13.5,12,10.2,1.3512,2.6375,6,Smelt
18,11.2,12,10.9,1.2587,2.1287,6,Smelt
20,11,11.5,15.3,1.5785,2.0963,6,Smelt
11,12.3,12.4,12.1,2.2345,2.0042,6,Smelt
20,9.8,10.2,12.8,1.7641,2.0194,6,Smelt
12,10.6,9.9,10.1,1.7932,2.9221,6,Smelt
17,12.8,9.6,14.4,1.5293,2.7593,6,Smelt
18,12.2,11.4,13.3,1.4773,2.3137,6,Smelt
20,13.2,13.4,14.7,1.3197,2.3237,6,Smelt
17,9.7,14.4,13.8,1.3341,2.8904,6,Smelt
6,9.9,14.5,14.7,1.7879,2.6749,6,Smelt
7,10.6,11.2,13.1,1.1001,2.7118,6,Smelt
16,13.4,11,15,1.6573,2.0527,6,Smelt
19,13.8,10.3,14.8,2.2309,2.4598,6,Smelt
12,12.8,13,16,2.4801,2.3094,6,Smelt
7,9.4,14,10.6,1.39,2.9722,6,Smelt
17,12.9,12.8,13.9,2.5098,2.0709,6,Smelt
20,13.5,12.5,13.9,1.5727,2.0586,6,Smelt
12,10.8,13.3,10.7,1.7859,2.0852,6,Smelt
9,11.1,10.5,14.6,2.4713,2.4826,6,Smelt
19,11.5,11.5,11.9,1.0459,2.1535,6,Smelt
8,12.3,10.4,13.2,1.5648,2.5378,6,Smelt
10,12.3,12.2,12.1,2.8315,2.8357,6,Smelt
16,13.5,13.6,15.7,1.1657,2.7057,6,Smelt
19,12,14.3,14,2.0367,2.5842,6,Smelt
6,11.1,9.7,12.6,2.6248,2.9356,6,Smelt
17,9.7,11.9,13.9,2.8956,2.5795,6,Smelt
17,12,14.1,10.4,2.6196,2.4717,6,Smelt
16,10.7,11.9,14.3,2.314,2.6904,6,Smelt
20,10.2,12.3,13,1.8281,2.5748,6,Smelt
12,11.3,13.3,15.6,2.6563,2.0302,6,Smelt
19,9.9,11.2,15.8,1.6542,2.3601,6,Smelt
14,9.8,14.7,11.1,1.9038,2.1473,6,Smelt
19,13.6,11.7,10.1,2.3498,2.4443,6,Smelt
6,10.7,12.3,12.5,2.6314,2.2402,6,Smelt
17,12.7,14.2,14.2,1.1151,2.4514,6,Smelt
8,13.5,14.6,14.5,1.8454,2.2379,6,Smelt
20,13,11.7,11.4,1.863,2.6088,6,Smelt
13,10.9,11.3,14.9,2.6467,2.2558,6,Smelt
19,13.6,11.6,14.6,2.6625,2.9947,6,Smelt
16,13.1,13.2,12.2,1.9215,2.5897,6,Smelt
9,9.2,9.5,14.3,2.2416,2.8529,6,Smelt
8,13.1,9.2,10.1,2.5869,2.0455,6,Smelt
15,13.1,9.1,12.4,1.3026,2.7654,6,Smelt
20,11.7,10.8,10.5,2.2611,2.2084,6,Smelt
15,11.4,11.6,11.5,1.7978,2.0111,6,Smelt
13,13.1,14,10.7,1.9373,2.6391,6,Smelt
18,10.9,14.5,15.7,1.5179,2.6441,6,Smelt
18,9.9,13.1,10.6,2.7161,2.2114,6,Smelt
13,13,9,13.7,1.5225,2.8691,6,Smelt
11,9.8,9.4,12,1.3433,2.8354,6,Smelt
19,13.7,12.6,14.2,2.0761,2.7421,6,Smelt
16,9.5,10.4,12.8,1.4908,2.7294,6,Smelt
16,11.1,12.3,14.8,2.0169,2.2883,6,Smelt
12,11.3,11.7,13.1,2.8521,2.8053,6,Smelt
19,12.8,13.6,11.2,1.4205,2.0782,6,Smelt
20,10.6,11.4,13.5,1.8037,2.0749,6,Smelt
12,12,11.9,12.7,1.1051,2.1221,6,Smelt
9,13.3,9.3,15.9,2.5725,2.4798,6,Smelt
15,11.1,9.2,11.3,2.9443,2.1849,6,Smelt
18,13.1,11.5,10.1,1.3028,2.6138,6,Smelt
13,11.5,11.6,13.6,1.9254,2.6788,6,Smelt
11,10.2,10.4,13.6,2.1641,2.7359,6,Smelt
8,10.8,11.6,12.1,2.5967,2.4722,6,Smelt
